perc_semelhanca,usar,dif_12,nome1,nome2
100,"",ELZO RIBEIRO JR,elzo ribeiro jr,elzo ribeiro jr
100,"",EDA SCHWARTZ,eda schwartz,eda schwartz
098,"",PAULA FRASSINE?TI CASTELO BRANCO CAMURCA FERNANDES,paula frassinetti castelo branco camurca fernandes,paula frassineti castelo branco camurca fernandes
097,"",MARCOS ROB?RTO COLOMBO BARNESE,marcos robrto colombo barnese,marcos roberto colombo barnese
097,"",LUIS HENRIQUE BEZERRA CAVAL?ANTI SETTE,luis henrique bezerra cavalcanti sette,luis henrique bezerra cavalanti sette
097,"",JOYCE MARTINS ARIMATE?A BRANCO TAVARES,joyce martins arimateia branco tavares,joyce martins arimatea branco tavares
097,"",CLAUDIA GONCALVES F?GUNDES PEREIRA,claudia goncalves fgundes pereira,claudia goncalves fagundes pereira
097,"",BARBARA BRUNA ABREU DE CASTRO?,barbara bruna abreu de castro1,barbara bruna abreu de castro
096,"",MARIANA FARINA VAL?IATTI,mariana farina valliatti,mariana farina valiatti
096,"",MARCOS SANDRO VASCONCEL?OS,marcos sandro vasconcelos,marcos sandro vasconcellos
096,"",LUI?? PAULO JOSE MARQUES,luiz paulo jose marques,luis paulo jose marques
096,"",LUI?? DERWAL SALLES JUNIOR,luiz derwal salles junior,luis derwal salles junior
096,"",JOSE CARLOS DE LIMA MUNIZ?,jose carlos de lima muniz',jose carlos de lima muniz
096,"",JONATHAN SOA?ES AGRICIO,jonathan soares agricio,jonathan soaes agricio
096,"",JE?FERSON CASSARO PAIXAO,jefferson cassaro paixao,jeferson cassaro paixao
096,"",IOLANDA FERREIRA DE M??RAIS,iolanda ferreira de morais,iolanda ferreira de marais
096,"",GIOVA?NA MEMARI PAVANELLI,giovanna memari pavanelli,giovana memari pavanelli
096,"",FABIANA RO?RIGUES HERNANDES,fabiana rorigues hernandes,fabiana rodrigues hernandes
096,"",ELIZABETH DE FRA?CESCO DAHER,elizabeth de francesco daher,elizabeth de fracesco daher
095,"",PEDRO PE?REIRA TENORIO,pedro perreira tenorio,pedro pereira tenorio
095,"",PEDRO EUGEN?IO DAUDT,pedro eugenio daudt,pedro eugencio daudt
095,"",MIRIAM DE MORA??S BENTO,miriam de morais bento,miriam de moraes bento
095,"",J?OCEMIR RONALDO LUGON,joocemir ronaldo lugon,jocemir ronaldo lugon
095,"",GESSIKA MARCELO? GOMES,gessika marcelos gomes,gessika marcelo gomes
095,"",ELIESER H? WATANABE,elieser h. watanabe,elieser h watanabe
094,"",ROSILENE M? ELIAS,rosilene m. elias,rosilene m elias
094,"",ROBSON S? SERRALHA,robson s. serralha,robson s serralha
094,"",PASQUAL BARRET?I,pasqual barretti,pasqual barreti
094,"",ISABELLA G? PIERRI,isabella g. pierri,isabella g pierri
094,"",FRANK GREGORY CAVAL??ANT?? DA SILVA,frank gregory cavalvanti da silva,frank gregory cavalcante da silva
094,"",ELEN ALMEI?A ROMAO,elen almeida romao,elen almeia romao
093,"",ROSA M?A MOYSES,rosa ma moyses,rosa m a moyses
093,"",ITA?LO FERREIRA,italo ferreira,itallo ferreira
093,"",CRISTIANO RODRIGO??? ALVARENGA NASCIMENTO,cristiano rodrigo de alvarenga nascimento,cristiano rodrigo alvarenga nascimento
092,"",CIRO BRUNO SI????EIRA COSTA,ciro bruno siqueira costa,ciro bruno silveira costa
092,"",ANDERSON LUIZ??? ALVARENGA NASCIMENTO,anderson luiz de alvarenga nascimento,anderson luiz alvarenga nascimento
091,"",SILVIA CORRADI FARIA ???MEDEIROS,silvia corradi faria medeiros,silvia corradi faria de medeiros
091,"",LILIAN PIRES DE FREITAS ???CARMO,lilian pires de freitas do carmo,lilian pires de freitas carmo
091,"",CLAR?I?SA SILVA RIBEIRO,clarrisa silva ribeiro,clarissa silva ribeiro
090,"",THANARA DA CONCEICAO ???SILVA,thanara da conceicao silva,thanara da conceicao da silva
090,"",PAULINO JOSE??? BOMFIM JUNIOR,paulino jose do bomfim junior,paulino jose bomfim junior
090,"",LUIZ ANTONIO??? RIBEIRO MOURA,luiz antonio ribeiro moura,luiz antonio de ribeiro moura
